accession	kmer_count	file_size_kb
ERR1713331	8266148	41112
ERR1713332	8217513	40828
ERR1713333	8192181	40748
ERR1713334	8537195	42452
ERR1713335	8395459	41700
ERR1713336	8121604	40348
ERR1713337	8498059	42284
ERR1713339	8275682	41136
ERR1713340	8358675	41568
ERR1713341	8321423	41368
ERR1713342	8451407	41948
ERR1713343	8136700	40380
ERR1713344	8604493	42672
ERR1713345	8536527	42416
ERR1713351	8552943	42476
ERR1713352	8181105	40592
ERR1713353	8502210	42300
ERR1713355	8253517	41000
ERR1713356	8458737	42024
ERR1713358	8449613	41940
ERR1713359	7714886	38360
ERR1713361	8600580	42752
ERR1713362	8670667	43144
ERR1713363	8335976	41448
ERR1713366	7785704	38740
ERR1713371	7707878	38156
ERR1713372	8342789	41404
ERR1713373	8433226	41916
ERR1713374	7935294	39456
ERR1713375	8426632	41876
ERR1713376	8357841	41552
ERR1713378	8494392	42156
ERR1713379	8555118	42524
ERR1713381	8613633	42876
ERR1713382	8418918	41848
ERR1713388	8388484	41692
ERR1713389	8498174	42240
ERR1713391	8587547	42676
ERR1713393	7648415	38044
ERR1713395	8415115	41808
ERR1713396	8619825	42892
ERR1713397	8577940	42624
ERR1713399	8483254	42164
ERR1713400	8181102	40676
ERR1713401	8338639	41476
ERR1713402	8426731	41908
ERR1713403	8297611	41240
ERR1713405	8559966	42544
ERR1713406	8545507	42392
ERR1713409	8340472	41456
