accession	kmer_count	file_size_kb
ERR1144974	5753358	45284
ERR1144975	5363525	42200
ERR1144976	5373086	42276
ERR1144977	5448878	42864
ERR1144978	5450058	42880
ERR3655992	12153588	94948
ERR3655994	14612019	115008
ERR3655996	14140069	111416
ERR3655998	14008767	110284
ERR3656002	14440128	113924
ERR3656004	7475206	59580
ERR3656010	7362580	58676
ERR3656012	7459303	59448
ERR3656013	7541036	60104
ERR3656015	7531610	60032
ERR3656018	11195309	89128
ERR3656019	9984719	79336
SRR10298903	9066614	72304
SRR10298904	6327716	50388
SRR10298905	12223729	97556
SRR10298906	8203014	65380
SRR10298907	8312248	66260
SRR10512964	36365135	289248
SRR10512965	35799426	284856
SRR10512968	35538519	282732
SRR10513325	3656763	29056
SRR10513326	4552230	36196
SRR10513328	4256207	33848
SRR10513363	4330919	34444
SRR10513672	6087896	48460
SRR10519468	3346229	26148
SRR10519469	3908909	30672
SRR10519616	7413309	59068
SRR10519617	7478791	59552
SRR10519619	7441956	59292
SRR10519620	6856761	54596
SRR10519637	7356915	58620
SRR10521982	4115731	32212
SRR10521983	4274227	33440
SRR10521984	4303017	33724
SRR10527348	5760622	45900
SRR10527349	6141694	48952
SRR10527351	6197301	49400
SRR10527352	5980650	47652
SRR10527353	6256544	49860
SRR8088181	8596040	68032
SRR8088182	8064131	63852
SRR8088183	8343710	65984
SRR8088184	10473394	83016
SRR8088185	8321729	65752
