accession	kmer_count	file_size_kb
ERR1144974	129496	400
ERR1144975	128553	400
ERR1144976	128314	396
ERR1144977	128379	400
ERR1144978	128287	396
ERR3655992	130643	404
ERR3655994	131036	404
ERR3655996	131035	404
ERR3655998	131030	404
ERR3656002	131033	404
ERR3656004	108485	224
ERR3656010	131008	404
ERR3656012	131012	404
ERR3656013	108252	224
ERR3656015	108050	224
ERR3656018	131011	268
ERR3656019	108473	224
SRR10298903	129910	264
SRR10298904	107845	224
SRR10298905	131001	268
SRR10298906	130714	264
SRR10298907	107811	224
SRR10512964	131072	268
SRR10512965	131070	268
SRR10512968	131072	268
SRR10513325	130138	404
SRR10513326	130615	404
SRR10513328	130638	404
SRR10513363	130657	404
SRR10513672	108844	228
SRR10519468	121684	380
SRR10519469	125999	392
SRR10519616	130804	264
SRR10519617	130943	404
SRR10519619	130721	264
SRR10519620	130609	264
SRR10519637	130797	264
SRR10521982	124932	388
SRR10521983	125143	388
SRR10521984	126075	392
SRR10527348	130640	264
SRR10527349	130769	264
SRR10527351	130814	264
SRR10527352	130484	264
SRR10527353	130521	264
SRR8088181	131030	404
SRR8088182	131002	404
SRR8088183	130979	404
SRR8088184	131060	408
SRR8088185	130930	404
