accession	kmer_count	file_size_kb
ERR1144974	3686374	20208
ERR1144975	3669374	20124
ERR1144976	3649978	20016
ERR1144977	3682102	20188
ERR1144978	3682675	20192
ERR3655992	5139236	27988
ERR3655994	5441716	29728
ERR3655996	5242903	28612
ERR3655998	5271845	28756
ERR3656002	5343160	29196
ERR3656004	3640952	20228
ERR3656010	3714703	20640
ERR3656012	3726512	20708
ERR3656013	3736101	20760
ERR3656015	3741537	20788
ERR3656018	4792456	26548
ERR3656019	4594486	25436
SRR10298903	3477810	19336
SRR10298904	3366157	18696
SRR10298905	3700726	20584
SRR10298906	3438451	19108
SRR10298907	3625413	20144
SRR10512964	6549303	36292
SRR10512965	6524655	36168
SRR10512968	6512787	36104
SRR10513325	2459447	13644
SRR10513326	2791492	15488
SRR10513328	2461905	13664
SRR10513363	2386428	13248
SRR10513672	2962551	16444
SRR10519468	1655363	9000
SRR10519469	1695920	9248
SRR10519616	4001430	22228
SRR10519617	3734822	20724
SRR10519619	4059690	22556
SRR10519620	3921317	21768
SRR10519637	3978677	22100
SRR10521982	1766292	9608
SRR10521983	1847692	10044
SRR10521984	1860864	10140
SRR10527348	3583009	19916
SRR10527349	3683343	20480
SRR10527351	3726652	20724
SRR10527352	3863209	21480
SRR10527353	4014182	22324
SRR8088181	2475921	13672
SRR8088182	2437203	13456
SRR8088183	2452733	13532
SRR8088184	2660940	14700
SRR8088185	2503066	13800
