accession	kmer_count	file_size_kb
ERR1144974	3578108	17476
ERR1144975	3568479	17436
ERR1144976	3550655	17348
ERR1144977	3579312	17484
ERR1144978	3580130	17488
ERR3655992	4743543	23072
ERR3655994	5050616	24644
ERR3655996	4849829	23640
ERR3655998	4876724	23764
ERR3656002	4954526	24180
ERR3656004	3577605	17712
ERR3656010	3651965	18084
ERR3656012	3663670	18140
ERR3656013	3672604	18188
ERR3656015	3678049	18216
ERR3656018	4670141	23060
ERR3656019	4474827	22076
SRR10298903	3414488	16916
SRR10298904	3312877	16396
SRR10298905	3625930	17972
SRR10298906	3378965	16732
SRR10298907	3560958	17636
SRR10512964	6270874	30984
SRR10512965	6253168	30904
SRR10512968	6242105	30852
SRR10513325	2441839	12068
SRR10513326	2755921	13624
SRR10513328	2439825	12064
SRR10513363	2368093	11712
SRR10513672	2909317	14388
SRR10519468	1590979	7716
SRR10519469	1633112	7940
SRR10519616	3965037	19620
SRR10519617	3691491	18244
SRR10519619	4024286	19916
SRR10519620	3883980	19204
SRR10519637	3942952	19512
SRR10521982	1690005	8200
SRR10521983	1766648	8568
SRR10521984	1783496	8668
SRR10527348	3560833	17628
SRR10527349	3660255	18132
SRR10527351	3705661	18356
SRR10527352	3842965	19032
SRR10527353	3994103	19784
SRR8088181	2397777	11792
SRR8088182	2364479	11632
SRR8088183	2373895	11668
SRR8088184	2569369	12644
SRR8088185	2421675	11896
