accession	kmer_count	file_size_kb
ERR1713331	66944156	614336
ERR1713332	66967572	613644
ERR1713333	66694380	611996
ERR1713334	74256148	681308
ERR1713335	71402556	654344
ERR1713336	63523516	582380
ERR1713337	72258718	663288
ERR1713339	69417613	636604
ERR1713340	70819201	649948
ERR1713341	67883289	622656
ERR1713342	70878819	649552
ERR1713343	71900403	658456
ERR1713344	79867468	731224
ERR1713345	74842627	686492
ERR1713351	74982432	687336
ERR1713352	65560117	599808
ERR1713353	74934561	687892
ERR1713355	66141033	606584
ERR1713356	73476560	673616
ERR1713358	70239069	643812
ERR1713359	50721004	465816
ERR1713361	75735157	694692
ERR1713362	77485657	711620
ERR1713363	69535937	637892
ERR1713366	67142851	615872
ERR1713371	53062400	485820
ERR1713372	70720151	648184
ERR1713373	74973907	687436
ERR1713374	61543880	564524
ERR1713375	71521492	655728
ERR1713376	69755581	640036
ERR1713378	75645034	693264
ERR1713379	77340172	709108
ERR1713381	75622772	694476
ERR1713382	68825517	631164
ERR1713388	69929187	641340
ERR1713389	73618903	675516
ERR1713391	75762416	694920
ERR1713393	48636231	446580
ERR1713395	68720292	629828
ERR1713396	74042034	679956
ERR1713397	76387177	700440
ERR1713399	77061229	706832
ERR1713400	69214725	635052
ERR1713401	71616145	657260
ERR1713402	70208602	644416
ERR1713403	70999297	651220
ERR1713405	73679633	675820
ERR1713406	73558948	674096
ERR1713409	70573914	647140
