accession	kmer_count	file_size_kb
ERR1144974	5864661	53016
ERR1144975	5448791	49240
ERR1144976	5461742	49360
ERR1144977	5539258	50056
ERR1144978	5545345	50108
ERR3655992	12541553	112488
ERR3655994	14916551	134800
ERR3655996	14429433	130532
ERR3655998	14283530	129100
ERR3656002	14734310	133472
ERR3656004	7773633	71184
ERR3656010	7643274	69988
ERR3656012	7746222	70924
ERR3656013	7833472	71732
ERR3656015	7825302	71656
ERR3656018	11498282	105120
ERR3656019	10326872	94232
SRR10298903	9435813	86444
SRR10298904	6559334	60012
SRR10298905	12681526	116272
SRR10298906	8520902	78028
SRR10298907	8634655	79076
SRR10512964	37584099	343388
SRR10512965	37040424	338536
SRR10512968	36791464	336212
SRR10513325	3728179	34032
SRR10513326	4686663	42816
SRR10513328	4377231	39980
SRR10513363	4448474	40640
SRR10513672	6323852	57828
SRR10519468	3478087	31200
SRR10519469	4081095	36764
SRR10519616	7589775	69460
SRR10519617	7739282	70776
SRR10519619	7656693	70068
SRR10519620	7048616	64460
SRR10519637	7530075	68912
SRR10521982	4322391	38832
SRR10521983	4479493	40232
SRR10521984	4514164	40616
SRR10527348	5877105	53792
SRR10527349	6270131	57412
SRR10527351	6320245	57872
SRR10527352	6081124	55656
SRR10527353	6356605	58188
SRR8088181	9057583	82300
SRR8088182	8478420	77088
SRR8088183	8778909	79716
SRR8088184	11022210	100304
SRR8088185	8729784	79212
