accession	kmer_count	file_size_kb
SRR038300	20113198	136196
SRR039632	27061104	182712
SRR1012332	1533275	9560
SRR1024141	6383097	41216
SRR1033463	49685198	334904
SRR1035695	25107323	169748
SRR1047817	30249050	204268
SRR1060774	10627134	71944
SRR1174334	24659410	166708
SRR1193574	19253319	130132
SRR1292581	36505977	247172
SRR1294106	32644664	220652
SRR1303626	20089708	135500
SRR1313077	39729032	267764
SRR1313078	36601262	246424
SRR1313092	29337260	197964
SRR1313097	36590817	246848
SRR1313105	33351054	225092
SRR1313120	34430585	232028
SRR1313154	32474838	218712
SRR1313156	28525140	192468
SRR1313198	30991668	209348
SRR1313216	33470636	225932
SRR1313228	26757448	180860
SRR1519066	30276717	204600
SRR191403	169973	1004
SRR191429	240985	1428
SRR191455	245151	1460
SRR191463	209887	1252
SRR191480	179088	1060
SRR191487	101593	592
SRR191494	122736	716
SRR191527	98735	572
SRR191555	175177	1044
SRR191563	321112	1916
SRR191621	573484	3452
SRR191646	5668078	37968
SRR191675	8355801	55848
SRR191693	10706971	71508
SRR191696	2751730	18112
SRR299111	8903670	59312
SRR306849	26703450	180576
SRR353653	22790034	154080
SRR387778	19274259	130368
SRR393767	28271017	191028
SRR403006	24164656	163140
SRR496397	28931628	195408
SRR518951	2691416	17104
SRR518958	2154220	13576
SRR537114	2499615	16836
