accession	kmer_count	file_size_kb
SRR038300	15691627	125088
SRR039632	25122198	199740
SRR1012332	1743833	12108
SRR1024141	6631676	48024
SRR1033463	50473138	399800
SRR1035695	23258603	185100
SRR1047817	28722505	228256
SRR1060774	10362575	82520
SRR1174334	22800486	181448
SRR1193574	17983900	143080
SRR1292581	36914841	294320
SRR1294106	32145391	255756
SRR1303626	18713047	148652
SRR1313077	35967833	285196
SRR1313078	33372986	264252
SRR1313092	26770345	212556
SRR1313097	33260822	264104
SRR1313105	30467255	242044
SRR1313120	31667081	251016
SRR1313154	29844825	236420
SRR1313156	26101806	207228
SRR1313198	28405164	225844
SRR1313216	30572980	242824
SRR1313228	24614519	195860
SRR1519066	29924395	238028
SRR191403	151929	1000
SRR191429	215262	1432
SRR191455	221207	1476
SRR191463	185711	1240
SRR191480	158648	1052
SRR191487	89836	584
SRR191494	108495	708
SRR191527	87633	564
SRR191555	158858	1056
SRR191563	293925	1956
SRR191621	547284	3668
SRR191646	4959223	38728
SRR191675	7340624	57056
SRR191693	9274176	72064
SRR191696	2589413	19580
SRR299111	9316909	72528
SRR306849	26374877	209732
SRR353653	23062312	183448
SRR387778	15607018	124264
SRR393767	27879802	221732
SRR403006	22120476	175788
SRR496397	28573828	227152
SRR518951	3049540	21792
SRR518958	2447070	17248
SRR537114	2088325	16416
