accession	kmer_count	file_size_kb
ERR1713331	131068	408
ERR1713332	131068	408
ERR1713333	131070	408
ERR1713334	131070	408
ERR1713335	131071	408
ERR1713336	131071	408
ERR1713337	131071	408
ERR1713339	131071	408
ERR1713340	131072	408
ERR1713341	131072	408
ERR1713342	131070	408
ERR1713343	131067	408
ERR1713344	131071	408
ERR1713345	131070	408
ERR1713351	131067	408
ERR1713352	131063	408
ERR1713353	131071	408
ERR1713355	131068	408
ERR1713356	131069	408
ERR1713358	131044	404
ERR1713359	131067	408
ERR1713361	131068	408
ERR1713362	131072	408
ERR1713363	131069	408
ERR1713366	131070	408
ERR1713371	131043	404
ERR1713372	131070	408
ERR1713373	131072	408
ERR1713374	131069	408
ERR1713375	131069	408
ERR1713376	131068	408
ERR1713378	131063	408
ERR1713379	131067	408
ERR1713381	131072	408
ERR1713382	131067	408
ERR1713388	131071	408
ERR1713389	131071	408
ERR1713391	131068	408
ERR1713393	131064	408
ERR1713395	131068	408
ERR1713396	131071	408
ERR1713397	131072	408
ERR1713399	131072	408
ERR1713400	131071	408
ERR1713401	131069	408
ERR1713402	131072	408
ERR1713403	131070	408
ERR1713405	131070	408
ERR1713406	131071	408
ERR1713409	131071	408
