accession	kmer_count	file_size_kb
SRR038300	3593476	15620
SRR039632	4152730	18028
SRR1012332	210208	900
SRR1024141	1028782	4432
SRR1033463	5580834	24216
SRR1035695	3962099	17220
SRR1047817	4311170	18724
SRR1060774	1620417	7028
SRR1174334	4214865	18320
SRR1193574	3682550	15996
SRR1292581	4948099	21504
SRR1294106	4791710	20820
SRR1303626	4024267	17448
SRR1313077	4660508	20216
SRR1313078	4325444	18756
SRR1313092	4021893	17460
SRR1313097	4728303	20516
SRR1313105	4496869	19520
SRR1313120	4388892	19048
SRR1313154	4073299	17668
SRR1313156	3851243	16720
SRR1313198	4576502	19880
SRR1313216	4348103	18888
SRR1313228	4325798	18796
SRR1519066	4760563	20680
SRR191403	117934	504
SRR191429	149537	636
SRR191455	152968	656
SRR191463	133693	572
SRR191480	116183	496
SRR191487	67635	288
SRR191494	83099	352
SRR191527	65255	276
SRR191555	120803	516
SRR191563	159987	684
SRR191621	173725	744
SRR191646	1047448	4524
SRR191675	1241164	5360
SRR191693	1551478	6700
SRR191696	468979	2020
SRR299111	1438220	6200
SRR306849	3455711	15012
SRR353653	3083493	13396
SRR387778	3424085	14876
SRR393767	4552893	19780
SRR403006	4082956	17724
SRR496397	4712589	20464
SRR518951	338039	1448
SRR518958	273930	1172
SRR537114	465312	2016
