accession	kmer_count	file_size_kb
SRR038300	1476695	5468
SRR039632	1500492	5552
SRR1012332	170838	636
SRR1024141	704589	2636
SRR1033463	1614584	5964
SRR1035695	1495451	5532
SRR1047817	1501822	5556
SRR1060774	977014	3644
SRR1174334	1519752	5620
SRR1193574	1438890	5328
SRR1292581	1618435	5976
SRR1294106	1571067	5804
SRR1303626	1459771	5404
SRR1313077	1513778	5596
SRR1313078	1459679	5404
SRR1313092	1464267	5420
SRR1313097	1539163	5688
SRR1313105	1521780	5628
SRR1313120	1488819	5508
SRR1313154	1440648	5332
SRR1313156	1437054	5320
SRR1313198	1546455	5716
SRR1313216	1509800	5584
SRR1313228	1523860	5636
SRR1519066	1562443	5772
SRR191403	98215	368
SRR191429	117354	436
SRR191455	121979	456
SRR191463	106825	400
SRR191480	93923	352
SRR191487	56059	208
SRR191494	68878	256
SRR191527	54486	204
SRR191555	100295	376
SRR191563	130176	488
SRR191621	138956	520
SRR191646	703429	2632
SRR191675	782616	2924
SRR191693	900007	3356
SRR191696	364519	1364
SRR299111	807357	3012
SRR306849	1425888	5284
SRR353653	1333017	4944
SRR387778	1422656	5272
SRR393767	1535364	5676
SRR403006	1468998	5436
SRR496397	1544865	5708
SRR518951	245500	916
SRR518958	204180	764
SRR537114	397869	1492
