ERR1713340	323868632.000000
ERR1713339	410001287.000000
ERR1713366	466929839.000000
ERR1713393	270324084.000000
ERR1713361	639281923.000000
ERR1713333	689408441.000000
ERR1713379	1239127032.000000
ERR1713403	963350058.000000
ERR1713373	1341523339.000000
ERR1713343	1386251207.000000
ERR1713399	2398770133.000000
ERR1713332	1228036980.000000
ERR1713334	2167288859.000000
ERR1713353	1998791338.000000
ERR1713341	1589844908.000000
ERR1713378	2602718550.000000
ERR1713402	1988605943.000000
ERR1713376	2270825438.000000
ERR1713409	1834051218.000000
ERR1713336	1574558277.000000
ERR1713375	2048174683.000000
ERR1713356	2328579478.000000
ERR1713388	2135397483.000000
ERR1713401	2586001429.000000
ERR1713374	1976988314.000000
ERR1713351	2967655462.000000
ERR1713389	2789088108.000000
ERR1713400	2349073715.000000
ERR1713335	2178770294.000000
ERR1713363	2698345844.000000
ERR1713337	4170023055.000000
ERR1713345	2964323547.000000
ERR1713331	2948556526.000000
ERR1713395	2302458582.000000
ERR1713362	4399965249.000000
ERR1713397	4707358412.000000
ERR1713359	1613245593.000000
ERR1713391	4521647303.000000
ERR1713372	3839005893.000000
ERR1713406	3418780581.000000
ERR1713342	3607472443.000000
ERR1713358	3239269882.000000
ERR1713381	4841103582.000000
ERR1713371	1917409264.000000
ERR1713355	3542598113.000000
ERR1713396	4401411272.000000
ERR1713344	6776377134.000000
ERR1713352	3415070545.000000
ERR1713405	5030610308.000000
ERR1713382	3648885526.000000
