accession	kmer_count	file_size_kb
ERR1713331	1853144	6812
ERR1713332	1832231	6740
ERR1713333	1860530	6840
ERR1713334	1863928	6852
ERR1713335	1831822	6736
ERR1713336	1827696	6724
ERR1713337	1885841	6928
ERR1713339	1853036	6812
ERR1713340	1866490	6860
ERR1713341	1851305	6804
ERR1713342	1832181	6736
ERR1713343	1814988	6676
ERR1713344	1835299	6748
ERR1713345	1860480	6836
ERR1713351	1841681	6772
ERR1713352	1776724	6540
ERR1713353	1885676	6924
ERR1713355	1837773	6756
ERR1713356	1845833	6788
ERR1713358	1822128	6700
ERR1713359	1822624	6704
ERR1713361	1867178	6860
ERR1713362	1889545	6940
ERR1713363	1848885	6796
ERR1713366	1850891	6804
ERR1713371	1726982	6360
ERR1713372	1827546	6720
ERR1713373	1856016	6824
ERR1713374	1829963	6732
ERR1713375	1842514	6776
ERR1713376	1858288	6828
ERR1713378	1832926	6740
ERR1713379	1861199	6840
ERR1713381	1892593	6952
ERR1713382	1839500	6764
ERR1713388	1848886	6796
ERR1713389	1864729	6852
ERR1713391	1857546	6828
ERR1713393	1824302	6708
ERR1713395	1830983	6732
ERR1713396	1885573	6924
ERR1713397	1864346	6852
ERR1713399	1869474	6868
ERR1713400	1848864	6796
ERR1713401	1867690	6864
ERR1713402	1865995	6856
ERR1713403	1854719	6820
ERR1713405	1854749	6816
ERR1713406	1836201	6752
ERR1713409	1849628	6800
