accession	kmer_count	file_size_kb
ERR1713331	6687003	29136
ERR1713332	6545980	28508
ERR1713333	6648892	28972
ERR1713334	6842297	29808
ERR1713335	6621991	28836
ERR1713336	6516403	28372
ERR1713337	6924445	30172
ERR1713339	6653574	28984
ERR1713340	6759420	29448
ERR1713341	6660142	29012
ERR1713342	6656571	28968
ERR1713343	6418293	27932
ERR1713344	6677492	29052
ERR1713345	6814111	29672
ERR1713351	6748120	29376
ERR1713352	6327621	27532
ERR1713353	6887956	30016
ERR1713355	6574739	28628
ERR1713356	6710654	29220
ERR1713358	6705070	29168
ERR1713359	6344604	27624
ERR1713361	6861977	29888
ERR1713362	7065252	30784
ERR1713363	6712592	29244
ERR1713366	6401424	27900
ERR1713371	6016159	26116
ERR1713372	6577554	28628
ERR1713373	6744150	29376
ERR1713374	6424350	27988
ERR1713375	6682883	29108
ERR1713376	6724106	29292
ERR1713378	6685195	29088
ERR1713379	6832757	29756
ERR1713381	6976598	30412
ERR1713382	6726347	29296
ERR1713388	6699459	29180
ERR1713389	6783206	29548
ERR1713391	6842813	29800
ERR1713393	6324603	27552
ERR1713395	6668743	29040
ERR1713396	7003200	30516
ERR1713397	6806879	29644
ERR1713399	6820776	29704
ERR1713400	6621236	28840
ERR1713401	6750356	29412
ERR1713402	6819703	29708
ERR1713403	6679306	29084
ERR1713405	6822778	29712
ERR1713406	6693111	29116
ERR1713409	6678697	29088
