accession	kmer_count	file_size_kb
SRR038300	131072	408
SRR039632	131072	408
SRR1012332	126381	392
SRR1024141	130983	404
SRR1033463	131072	408
SRR1035695	131072	408
SRR1047817	131072	408
SRR1060774	131072	408
SRR1174334	107982	224
SRR1193574	131069	408
SRR1292581	107579	220
SRR1294106	131072	408
SRR1303626	131072	408
SRR1313077	131071	408
SRR1313078	131072	408
SRR1313092	131071	408
SRR1313097	108954	224
SRR1313105	131072	408
SRR1313120	131072	408
SRR1313154	131072	408
SRR1313156	131072	408
SRR1313198	131072	408
SRR1313216	131072	408
SRR1313228	131072	408
SRR1519066	131071	408
SRR191403	59301	184
SRR191429	65848	208
SRR191455	68370	216
SRR191463	61954	196
SRR191480	57178	180
SRR191487	38060	120
SRR191494	44806	140
SRR191527	37400	116
SRR191555	60509	188
SRR191563	81751	256
SRR191621	101974	320
SRR191646	131031	404
SRR191675	130985	404
SRR191693	131026	404
SRR191696	129802	404
SRR299111	130830	404
SRR306849	131072	408
SRR353653	131072	408
SRR387778	131072	408
SRR393767	131069	408
SRR403006	131072	408
SRR496397	108003	224
SRR518951	129083	400
SRR518958	127529	396
SRR537114	130971	404
