accession	kmer_count	file_size_kb
ERR1713331	68189608	544752
ERR1713332	68087487	543228
ERR1713333	68146184	544364
ERR1713334	76029108	607296
ERR1713335	72880856	581500
ERR1713336	64451698	514452
ERR1713337	74143684	592520
ERR1713339	71027747	567112
ERR1713340	72616264	580192
ERR1713341	69251292	552996
ERR1713342	72551446	578880
ERR1713343	73718117	587816
ERR1713344	82326527	656272
ERR1713345	76757805	612972
ERR1713351	76915294	613844
ERR1713352	66636237	530716
ERR1713353	76976746	615176
ERR1713355	67285687	537260
ERR1713356	75273862	600808
ERR1713358	71802698	573008
ERR1713359	50328919	402376
ERR1713361	77865554	621828
ERR1713362	79723293	637348
ERR1713363	70980449	566864
ERR1713366	68697479	548692
ERR1713371	52961244	422196
ERR1713372	72234291	576452
ERR1713373	76937922	614208
ERR1713374	62407217	498336
ERR1713375	73088492	583384
ERR1713376	71209930	568816
ERR1713378	77665162	619736
ERR1713379	79672526	635968
ERR1713381	77669437	620880
ERR1713382	69934638	558288
ERR1713388	71314461	569400
ERR1713389	75394391	602284
ERR1713391	77769666	621008
ERR1713393	48887946	390760
ERR1713395	70142896	559672
ERR1713396	75857096	606428
ERR1713397	78499181	626668
ERR1713399	79294686	633304
ERR1713400	70857602	565964
ERR1713401	73382389	586296
ERR1713402	71828373	573940
ERR1713403	72728500	580820
ERR1713405	75487669	602796
ERR1713406	75438575	601904
ERR1713409	72177029	576232
