accession	kmer_count	file_size_kb
ERR1713331	69202620	469724
ERR1713332	68920170	467232
ERR1713333	69419668	471188
ERR1713334	77571508	526432
ERR1713335	74067454	502108
ERR1713336	65105522	441572
ERR1713337	75891954	515296
ERR1713339	72451209	491532
ERR1713340	74262366	504112
ERR1713341	70412137	477744
ERR1713342	74032677	501768
ERR1713343	75316331	510256
ERR1713344	84648904	573120
ERR1713345	78478615	532432
ERR1713351	78646257	533240
ERR1713352	67391231	456072
ERR1713353	78875898	535580
ERR1713355	68200051	462708
ERR1713356	76855694	521196
ERR1713358	73180139	496000
ERR1713359	49567309	336724
ERR1713361	79852548	541792
ERR1713362	81842585	555908
ERR1713363	72172885	489720
ERR1713366	70069665	475648
ERR1713371	52411343	354920
ERR1713372	73492915	498280
ERR1713373	78715813	533956
ERR1713374	63023013	427592
ERR1713375	74414472	504684
ERR1713376	72443975	491696
ERR1713378	79491630	538808
ERR1713379	81892158	555400
ERR1713381	79585160	540564
ERR1713382	70668811	479356
ERR1713388	72448705	491492
ERR1713389	76972086	522420
ERR1713391	79585606	539924
ERR1713393	48865513	331868
ERR1713395	71279133	483208
ERR1713396	77481816	526272
ERR1713397	80452780	545640
ERR1713399	81400239	552372
ERR1713400	72323281	490832
ERR1713401	74956671	508844
ERR1713402	73257877	497348
ERR1713403	74284644	504048
ERR1713405	77105566	523136
ERR1713406	77134345	522696
ERR1713409	73576489	499132
