SRR191527	65267.000000
SRR191487	67643.000000
SRR191480	116181.000000
SRR191463	133720.000000
SRR191494	83101.000000
SRR191429	149526.000000
SRR191555	120786.000000
SRR191403	117959.000000
SRR191455	152987.000000
SRR1012332	210208.000000
SRR191563	160012.000000
SRR1024141	1028756.000000
SRR191696	468837.000000
SRR537114	465427.000000
SRR191621	173736.000000
SRR518958	273881.000000
SRR191675	1241454.000000
SRR191693	1551211.000000
SRR518951	338021.000000
SRR1060774	1620229.000000
SRR191646	1047511.000000
SRR1047817	4311919.000000
SRR353653	3083380.000000
SRR1313156	3851275.000000
SRR1313216	4349201.000000
SRR1313105	4497022.000000
SRR1303626	4023974.000000
SRR1313092	4021726.000000
SRR387778	3423700.000000
SRR393767	4553616.000000
SRR306849	3455107.000000
SRR039632	4152381.000000
SRR1313097	4729986.000000
SRR1313198	4576250.000000
SRR038300	3593235.000000
SRR1035695	3960557.000000
SRR299111	1438198.000000
SRR1313154	4073812.000000
SRR1313228	4326467.000000
SRR1313120	4388855.000000
SRR1313078	4325048.000000
SRR496397	4712033.000000
SRR1313077	4661091.000000
SRR1033463	5580383.000000
SRR1193574	3681667.000000
SRR1519066	4759588.000000
SRR1294106	4791885.000000
SRR1292581	4948747.000000
SRR403006	4083066.000000
SRR1174334	4215498.000000
