accession	kmer_count	file_size_kb
SRR038300	23351219	115876
SRR039632	26136749	129396
SRR1012332	1122106	5472
SRR1024141	5822213	28644
SRR1033463	41624947	205776
SRR1035695	24767596	122776
SRR1047817	29061586	143912
SRR1060774	10488337	52020
SRR1174334	24743265	122636
SRR1193574	19366354	95952
SRR1292581	32025420	158808
SRR1294106	30021257	148776
SRR1303626	19535588	96588
SRR1313077	38514858	190320
SRR1313078	35261558	174164
SRR1313092	29127473	144196
SRR1313097	35530618	175676
SRR1313105	32507193	160864
SRR1313120	32930461	162836
SRR1313154	31193686	154228
SRR1313156	28201867	139620
SRR1313198	30643532	151768
SRR1313216	32675467	161748
SRR1313228	26687467	132248
SRR1519066	27795121	137716
SRR191403	134822	640
SRR191429	178636	848
SRR191455	181294	864
SRR191463	158739	756
SRR191480	136824	652
SRR191487	78909	372
SRR191494	95966	452
SRR191527	75921	356
SRR191555	138542	660
SRR191563	239463	1148
SRR191621	403320	1944
SRR191646	5940203	29364
SRR191675	8561884	42272
SRR191693	11089676	54736
SRR191696	2522669	12424
SRR299111	7442488	36644
SRR306849	24280247	120436
SRR353653	20412693	101220
SRR387778	22051951	109320
SRR393767	26144047	129552
SRR403006	24475343	121200
SRR496397	26747446	132500
SRR518951	1876831	9176
SRR518958	1516016	7396
SRR537114	2862001	14204
