accession	kmer_count	file_size_kb
SRR038300	3537210	19680
SRR039632	4724707	26204
SRR1012332	262624	1380
SRR1024141	1119573	6088
SRR1033463	7130421	39556
SRR1035695	4320209	24008
SRR1047817	4882579	27116
SRR1060774	1682206	9360
SRR1174334	4615740	25652
SRR1193574	3994740	22196
SRR1292581	5921078	32928
SRR1294106	5663339	31468
SRR1303626	4741754	26248
SRR1313077	5282946	29292
SRR1313078	4903390	27164
SRR1313092	4411289	24484
SRR1313097	5406497	29980
SRR1313105	5095655	28264
SRR1313120	5023597	27852
SRR1313154	4596391	25476
SRR1313156	4248456	23576
SRR1313198	5129022	28480
SRR1313216	4875784	27068
SRR1313228	4748880	26384
SRR1519066	5639996	31336
SRR191403	150901	780
SRR191429	206441	1064
SRR191455	209348	1088
SRR191463	183223	948
SRR191480	156803	812
SRR191487	90272	460
SRR191494	108653	556
SRR191527	86960	440
SRR191555	155226	808
SRR191563	210101	1092
SRR191621	235317	1220
SRR191646	1055745	5832
SRR191675	1306862	7208
SRR191693	1616470	8916
SRR191696	499602	2728
SRR299111	1678910	9236
SRR306849	3969877	22052
SRR353653	3526090	19600
SRR387778	3389623	18852
SRR393767	5348576	29720
SRR403006	4421043	24544
SRR496397	5563362	30900
SRR518951	462264	2456
SRR518958	367996	1944
SRR537114	432492	2400
