accession	kmer_count	file_size_kb
ERR1144974	1087505	4036
ERR1144975	1091070	4048
ERR1144976	1088558	4040
ERR1144977	1087950	4036
ERR1144978	1090906	4048
ERR3655992	1105594	4104
ERR3655994	1206426	4472
ERR3655996	1164958	4320
ERR3655998	1157087	4292
ERR3656002	1204807	4468
ERR3656004	1296680	4812
ERR3656010	1309066	4856
ERR3656012	1311938	4868
ERR3656013	1312771	4872
ERR3656015	1314867	4880
ERR3656018	1455868	5392
ERR3656019	1415114	5240
SRR10298903	1297951	4816
SRR10298904	1261787	4684
SRR10298905	1342757	4984
SRR10298906	1285658	4772
SRR10298907	1310702	4864
SRR10512964	1614103	5960
SRR10512965	1621455	5988
SRR10512968	1620433	5984
SRR10513325	1063922	3964
SRR10513326	1126511	4192
SRR10513328	1074794	4004
SRR10513363	1062190	3960
SRR10513672	1163717	4328
SRR10519468	616163	2300
SRR10519469	648880	2420
SRR10519616	1417698	5252
SRR10519617	1355747	5028
SRR10519619	1429338	5296
SRR10519620	1390418	5152
SRR10519637	1412490	5232
SRR10521982	638782	2384
SRR10521983	650793	2428
SRR10521984	675148	2520
SRR10527348	1361170	5044
SRR10527349	1385480	5136
SRR10527351	1395409	5172
SRR10527352	1409165	5224
SRR10527353	1435534	5316
SRR8088181	1000221	3724
SRR8088182	993798	3700
SRR8088183	981690	3656
SRR8088184	1041436	3876
SRR8088185	983179	3660
